
=============================================
STARTING Stage1
Episodes: 15000 | LR: 0.0001
Global Episode Offset: 0
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=50)
[Stage1] Ep 100 | Avg Rew: -4.49 | Success: 0.00
[Stage1] Ep 6900 | Avg Rew: 79.68 | Success: 0.05
[Stage1] Ep 7000 | Avg Rew: 77.37 | Success: 0.06
[Stage1] Ep 7100 | Avg Rew: 74.71 | Success: 0.08
[Stage1] Ep 7200 | Avg Rew: 78.07 | Success: 0.10
[Stage1] Ep 7300 | Avg Rew: 78.25 | Success: 0.04
[Stage1] Ep 7400 | Avg Rew: 85.98 | Success: 0.09
[Stage1] Ep 7500 | Avg Rew: 81.91 | Success: 0.10
[Stage1] Ep 7600 | Avg Rew: 107.42 | Success: 0.12
[Stage1] Ep 7700 | Avg Rew: 92.62 | Success: 0.04
[Stage1] Ep 7800 | Avg Rew: 82.14 | Success: 0.08
[Stage1] Ep 7900 | Avg Rew: 93.08 | Success: 0.11
[Stage1] Ep 8000 | Avg Rew: 97.68 | Success: 0.06
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage1_ep8000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage1_ep8000.pth
[Stage1] Ep 8100 | Avg Rew: 95.32 | Success: 0.02
[Stage1] Ep 8200 | Avg Rew: 80.69 | Success: 0.10
[Stage1] Ep 8300 | Avg Rew: 121.16 | Success: 0.14
[Stage1] Ep 8400 | Avg Rew: 141.15 | Success: 0.13
[Stage1] Ep 8500 | Avg Rew: 87.77 | Success: 0.08
[Stage1] Ep 8600 | Avg Rew: 95.05 | Success: 0.16
[Stage1] Ep 8700 | Avg Rew: 117.11 | Success: 0.12
[Stage1] Ep 8800 | Avg Rew: 102.10 | Success: 0.09
[Stage1] Ep 8900 | Avg Rew: 116.89 | Success: 0.12
[Stage1] Ep 9000 | Avg Rew: 96.18 | Success: 0.11
[Stage1] Ep 9100 | Avg Rew: 97.92 | Success: 0.07
[Stage1] Ep 9200 | Avg Rew: 99.49 | Success: 0.12
[Stage1] Ep 9300 | Avg Rew: 93.76 | Success: 0.13
[Stage1] Ep 9400 | Avg Rew: 112.89 | Success: 0.08
[Stage1] Ep 9500 | Avg Rew: 95.84 | Success: 0.08
[Stage1] Ep 9600 | Avg Rew: 97.57 | Success: 0.14
[Stage1] Ep 9700 | Avg Rew: 118.15 | Success: 0.08
[Stage1] Ep 9800 | Avg Rew: 90.75 | Success: 0.05
[Stage1] Ep 9900 | Avg Rew: 109.81 | Success: 0.06
[Stage1] Ep 10000 | Avg Rew: 104.71 | Success: 0.10
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage1_ep10000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage1_ep10000.pth
[Stage1] Ep 10100 | Avg Rew: 94.08 | Success: 0.05
[Stage1] Ep 10200 | Avg Rew: 90.26 | Success: 0.05
[Stage1] Ep 10300 | Avg Rew: 91.12 | Success: 0.05
[Stage1] Ep 10400 | Avg Rew: 114.49 | Success: 0.07
[Stage1] Ep 10500 | Avg Rew: 128.15 | Success: 0.09
[Stage1] Ep 10600 | Avg Rew: 123.02 | Success: 0.11
[Stage1] Ep 10700 | Avg Rew: 114.64 | Success: 0.19
[Stage1] Ep 10800 | Avg Rew: 136.87 | Success: 0.17
[Stage1] Ep 10900 | Avg Rew: 130.10 | Success: 0.23
[Stage1] Ep 11000 | Avg Rew: 139.80 | Success: 0.16
[Stage1] Ep 11100 | Avg Rew: 129.99 | Success: 0.16
[Stage1] Ep 11200 | Avg Rew: 138.26 | Success: 0.16
[Stage1] Ep 11300 | Avg Rew: 135.10 | Success: 0.20
[Stage1] Ep 11400 | Avg Rew: 138.65 | Success: 0.22
[Stage1] Ep 11500 | Avg Rew: 161.68 | Success: 0.20
[Stage1] Ep 11600 | Avg Rew: 143.90 | Success: 0.09
[Stage1] Ep 11700 | Avg Rew: 172.45 | Success: 0.21
[Stage1] Ep 11800 | Avg Rew: 154.42 | Success: 0.20
[Stage1] Ep 11900 | Avg Rew: 145.07 | Success: 0.20
[Stage1] Ep 12000 | Avg Rew: 160.64 | Success: 0.24
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage1_ep12000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage1_ep12000.pth
[Stage1] Ep 12100 | Avg Rew: 147.29 | Success: 0.25
[Stage1] Ep 12200 | Avg Rew: 154.01 | Success: 0.27
[Stage1] Ep 12300 | Avg Rew: 184.05 | Success: 0.27
[Stage1] Ep 12400 | Avg Rew: 183.17 | Success: 0.24
[Stage1] Ep 12500 | Avg Rew: 155.44 | Success: 0.22
[Stage1] Ep 12600 | Avg Rew: 197.04 | Success: 0.29
[Stage1] Ep 12700 | Avg Rew: 194.29 | Success: 0.31
[Stage1] Ep 12800 | Avg Rew: 196.28 | Success: 0.37
[Stage1] Ep 12900 | Avg Rew: 206.15 | Success: 0.35
[Stage1] Ep 13000 | Avg Rew: 216.42 | Success: 0.20
[Stage1] Ep 13100 | Avg Rew: 196.56 | Success: 0.32
[Stage1] Ep 13200 | Avg Rew: 162.05 | Success: 0.26
[Stage1] Ep 13300 | Avg Rew: 160.95 | Success: 0.28
[Stage1] Ep 13400 | Avg Rew: 172.58 | Success: 0.22
[Stage1] Ep 13500 | Avg Rew: 193.89 | Success: 0.20
[Stage1] Ep 13600 | Avg Rew: 193.32 | Success: 0.24
[Stage1] Ep 13700 | Avg Rew: 196.88 | Success: 0.23
[Stage1] Ep 13800 | Avg Rew: 186.77 | Success: 0.27
[Stage1] Ep 13900 | Avg Rew: 189.96 | Success: 0.35
[Stage1] Ep 14000 | Avg Rew: 209.52 | Success: 0.37
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage1_ep14000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage1_ep14000.pth
[Stage1] Ep 14100 | Avg Rew: 201.53 | Success: 0.25
[Stage1] Ep 14200 | Avg Rew: 199.71 | Success: 0.26
[Stage1] Ep 14300 | Avg Rew: 203.69 | Success: 0.28
[Stage1] Ep 14400 | Avg Rew: 204.89 | Success: 0.27
[Stage1] Ep 14500 | Avg Rew: 247.40 | Success: 0.38
[Stage1] Ep 14600 | Avg Rew: 226.53 | Success: 0.33
[Stage1] Ep 14700 | Avg Rew: 225.77 | Success: 0.31
[Stage1] Ep 14800 | Avg Rew: 208.96 | Success: 0.28
[Stage1] Ep 14900 | Avg Rew: 215.56 | Success: 0.33
[Stage1] Ep 15000 | Avg Rew: 217.94 | Success: 0.30
Finished Stage1. Saved model to /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/weights/model_Stage1_FINAL.pth
✅ Added Stage1 to previous stages pool (total: 1 stages)
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/weights/actor_Stage1_FINAL.pth

=============================================
STARTING Stage2
Episodes: 30000 | LR: 0.0001
Global Episode Offset: 30000
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=50)
[Stage2] Ep 100 | Avg Rew: 231.06 | Success: 0.00 [Prev: 1]
[Stage2] Ep 200 | Avg Rew: 237.10 | Success: 0.00 [Prev: 1]
[Stage2] Ep 300 | Avg Rew: 237.19 | Success: 0.00 [Prev: 1]
[Stage2] Ep 400 | Avg Rew: 223.63 | Success: 0.00 [Prev: 1]
[Stage2] Ep 500 | Avg Rew: 226.84 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=236.11

[Stage2] Ep 600 | Avg Rew: 237.69 | Success: 0.00 [Prev: 1]
[Stage2] Ep 700 | Avg Rew: 213.98 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 800 | Avg Rew: 206.08 | Success: 0.00 [Prev: 1]
[Stage2] Ep 900 | Avg Rew: 237.71 | Success: 0.00 [Prev: 1]
[Stage2] Ep 1000 | Avg Rew: 281.92 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=283.02

[Stage2] Ep 1100 | Avg Rew: 247.75 | Success: 0.00 [Prev: 1]
[Stage2] Ep 1200 | Avg Rew: 240.55 | Success: 0.00 [Prev: 1]
[Stage2] Ep 1300 | Avg Rew: 233.18 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 1400 | Avg Rew: 237.02 | Success: 0.00 [Prev: 1]
[Stage2] Ep 1500 | Avg Rew: 263.66 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=282.72

[Stage2] Ep 1600 | Avg Rew: 238.84 | Success: 0.00 [Prev: 1]
[Stage2] Ep 1700 | Avg Rew: 248.64 | Success: 0.00 [Prev: 1]
[Stage2] Ep 1800 | Avg Rew: 252.66 | Success: 0.00 [Prev: 1]
[Stage2] Ep 1900 | Avg Rew: 265.43 | Success: 0.00 [Prev: 1]
[Stage2] Ep 2000 | Avg Rew: 282.71 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=286.37

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep2000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep2000.pth
[Stage2] Ep 2100 | Avg Rew: 277.53 | Success: 0.00 [Prev: 1]
[Stage2] Ep 2200 | Avg Rew: 260.43 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 2300 | Avg Rew: 243.14 | Success: 0.00 [Prev: 1]
[Stage2] Ep 2400 | Avg Rew: 278.35 | Success: 0.00 [Prev: 1]
[Stage2] Ep 2500 | Avg Rew: 298.13 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.70, Return=285.50

[Stage2] Ep 2600 | Avg Rew: 249.70 | Success: 0.00 [Prev: 1]
[Stage2] Ep 2700 | Avg Rew: 285.10 | Success: 0.00 [Prev: 1]
[Stage2] Ep 2800 | Avg Rew: 256.41 | Success: 0.00 [Prev: 1]
[Stage2] Ep 2900 | Avg Rew: 275.63 | Success: 0.00 [Prev: 1]
[Stage2] Ep 3000 | Avg Rew: 261.62 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=257.32

[Stage2] Ep 3100 | Avg Rew: 289.89 | Success: 0.00 [Prev: 1]
[Stage2] Ep 3200 | Avg Rew: 271.74 | Success: 0.00 [Prev: 1]
[Stage2] Ep 3300 | Avg Rew: 255.27 | Success: 0.00 [Prev: 1]
[Stage2] Ep 3400 | Avg Rew: 293.53 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 3500 | Avg Rew: 243.50 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=308.80

[Stage2] Ep 3600 | Avg Rew: 287.38 | Success: 0.00 [Prev: 1]
[Stage2] Ep 3700 | Avg Rew: 284.29 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 3800 | Avg Rew: 278.04 | Success: 0.00 [Prev: 1]
[Stage2] Ep 3900 | Avg Rew: 274.41 | Success: 0.00 [Prev: 1]
[Stage2] Ep 4000 | Avg Rew: 237.28 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.60, Return=288.74

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep4000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep4000.pth
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 4100 | Avg Rew: 244.29 | Success: 0.00 [Prev: 1]
[Stage2] Ep 4200 | Avg Rew: 218.74 | Success: 0.00 [Prev: 1]
[Stage2] Ep 4300 | Avg Rew: 267.35 | Success: 0.00 [Prev: 1]
[Stage2] Ep 4400 | Avg Rew: 291.27 | Success: 0.00 [Prev: 1]
[Stage2] Ep 4500 | Avg Rew: 276.37 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=350.18

[Stage2] Ep 4600 | Avg Rew: 293.05 | Success: 0.00 [Prev: 1]
[Stage2] Ep 4700 | Avg Rew: 308.86 | Success: 0.00 [Prev: 1]
[Stage2] Ep 4800 | Avg Rew: 291.32 | Success: 0.00 [Prev: 1]
[Stage2] Ep 4900 | Avg Rew: 297.33 | Success: 0.00 [Prev: 1]
[Stage2] Ep 5000 | Avg Rew: 280.12 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=329.53

[Stage2] Ep 5100 | Avg Rew: 276.33 | Success: 0.00 [Prev: 1]
[Stage2] Ep 5200 | Avg Rew: 287.38 | Success: 0.00 [Prev: 1]
[Stage2] Ep 5300 | Avg Rew: 294.69 | Success: 0.00 [Prev: 1]
[Stage2] Ep 5400 | Avg Rew: 280.96 | Success: 0.00 [Prev: 1]
[Stage2] Ep 5500 | Avg Rew: 290.45 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=308.24

[Stage2] Ep 5600 | Avg Rew: 275.34 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 5700 | Avg Rew: 261.71 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 5800 | Avg Rew: 258.91 | Success: 0.00 [Prev: 1]
[Stage2] Ep 5900 | Avg Rew: 294.14 | Success: 0.00 [Prev: 1]
[Stage2] Ep 6000 | Avg Rew: 305.50 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.60, Return=336.91

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep6000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep6000.pth
[Stage2] Ep 6100 | Avg Rew: 303.53 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 6200 | Avg Rew: 310.25 | Success: 0.00 [Prev: 1]
[Stage2] Ep 6300 | Avg Rew: 315.02 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 6400 | Avg Rew: 301.24 | Success: 0.00 [Prev: 1]
[Stage2] Ep 6500 | Avg Rew: 311.59 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.20, Return=244.73

   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 6600 | Avg Rew: 318.20 | Success: 0.00 [Prev: 1]
[Stage2] Ep 6700 | Avg Rew: 283.61 | Success: 0.00 [Prev: 1]
[Stage2] Ep 6800 | Avg Rew: 275.59 | Success: 0.00 [Prev: 1]
[Stage2] Ep 6900 | Avg Rew: 285.78 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 7000 | Avg Rew: 317.58 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.50, Return=303.92

[Stage2] Ep 7100 | Avg Rew: 322.50 | Success: 0.00 [Prev: 1]
[Stage2] Ep 7200 | Avg Rew: 330.49 | Success: 0.00 [Prev: 1]
[Stage2] Ep 7300 | Avg Rew: 312.02 | Success: 0.00 [Prev: 1]
[Stage2] Ep 7400 | Avg Rew: 323.08 | Success: 0.00 [Prev: 1]
[Stage2] Ep 7500 | Avg Rew: 316.46 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.30, Return=311.31

[Stage2] Ep 7600 | Avg Rew: 303.74 | Success: 0.00 [Prev: 1]
[Stage2] Ep 7700 | Avg Rew: 306.99 | Success: 0.00 [Prev: 1]
[Stage2] Ep 7800 | Avg Rew: 295.79 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 7900 | Avg Rew: 328.00 | Success: 0.00 [Prev: 1]
[Stage2] Ep 8000 | Avg Rew: 337.89 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.30, Return=351.95

Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/ckpt_Stage2_ep8000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/Old_Generator/EXPERIMENT_1/runs/20260113_012651/checkpoints/actor_Stage2_ep8000.pth
[Stage2] Ep 8100 | Avg Rew: 298.36 | Success: 0.00 [Prev: 1]
   🔄 Anti-forgetting: Training on previous stage 'Stage1'
[Stage2] Ep 8200 | Avg Rew: 334.14 | Success: 0.00 [Prev: 1]
[Stage2] Ep 8300 | Avg Rew: 303.38 | Success: 0.00 [Prev: 1]
[Stage2] Ep 8400 | Avg Rew: 324.95 | Success: 0.00 [Prev: 1]
[Stage2] Ep 8500 | Avg Rew: 310.87 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.30, Return=302.31

[Stage2] Ep 8600 | Avg Rew: 311.55 | Success: 0.00 [Prev: 1]
[Stage2] Ep 8700 | Avg Rew: 318.29 | Success: 0.00 [Prev: 1]
[Stage2] Ep 8800 | Avg Rew: 289.43 | Success: 0.00 [Prev: 1]
[Stage2] Ep 8900 | Avg Rew: 322.33 | Success: 0.00 [Prev: 1]
[Stage2] Ep 9000 | Avg Rew: 341.13 | Success: 0.00 [Prev: 1]

🔍 Evaluating on 1 previous stage(s) to check for forgetting...
[ENV] On-the-fly curve generation enabled (base_seed=50)
   Stage1: Success=0.40, Return=347.47

[Stage2] Ep 9100 | Avg Rew: 339.14 | Success: 0.00 [Prev: 1]
[Stage2] Ep 9200 | Avg Rew: 320.64 | Success: 0.00 [Prev: 1]
[Stage2] Ep 9300 | Avg Rew: 307.52 | Success: 0.00 [Prev: 1]
[Stage2] Ep 9400 | Avg Rew: 332.36 | Success: 0.00 [Prev: 1]
[Stage2] Ep 9500 | Avg Rew: 326.22 | Success: 0.00 [Prev: 1]

